cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength,type
480,0,0,192,0,936.2,712.2,28,43.94,media
255,0,0,192,0,889.8,945,28,18.75,baja
333,0,0,192,0,931.2,842.6,28,31.97,media
289,0,0,192,0,913.2,895.3,28,25.57,media
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94,media
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63,media
239.6,359.4,0,185.7,0,941.6,664.3,28,39.44,media
220.8,147.2,0,185.7,0,1055,744.3,28,25.75,media
397,0,0,185.7,0,1040.6,734.3,28,33.08,media
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07,baja
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.05,media
381.4,0,0,185.7,0,1104.6,784.3,28,22.49,baja
295.8,0,0,185.7,0,1091.4,769.3,28,25.22,media
228,342.1,0,185.7,0,955.8,674.3,28,39.7,media
316.1,210.7,0,185.7,0,977,689.3,28,38.7,media
238.1,0,0,185.7,0,1118.8,789.3,28,17.58,baja
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2,baja
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63,baja
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73,media
210.7,316.1,0,185.7,0,977,689.3,28,37.81,media
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04,media
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91,media
339.2,0,0,185.7,0,1069.2,754.3,28,31.9,media
252.5,0,0,185.7,0,1111.6,784.3,28,19.77,baja
382.5,0,0,185.7,0,1047.8,739.3,28,37.44,media
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6,baja
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38,media
339,0,0,197,0,968,781,28,32.04,media
236,0,0,194,0,968,885,28,18.42,baja
277,0,0,191,0,968,856,28,25.97,media
307,0,0,193,0,968,812,28,27.53,media
200,0,0,180,0,1125,845,28,12.25,baja
225,0,0,181,0,1113,833,28,17.34,baja
325,0,0,184,0,1063,783,28,30.57,media
275,0,0,183,0,1088,808,28,24.5,baja
300,0,0,184,0,1075,795,28,26.85,media
375,0,0,186,0,1038,758,28,38.21,media
400,0,0,187,0,1025,745,28,43.7,media
250,0,0,182,0,1100,820,28,20.87,baja
350,0,0,186,0,1050,770,28,34.29,media
141.3,212,0,203.5,0,971.8,748.5,28,29.89,media
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29,baja
166.8,250.2,0,203.5,0,975.6,692.6,28,33.95,media
108.3,162.4,0,203.5,0,938.2,849,28,20.59,baja
157,236,0,192,0,935.4,781.2,28,33.66,media
133,200,0,192,0,927.4,839.2,28,27.87,media
192,288,0,192,0,929.8,716.1,28,39.32,media
305.3,203.5,0,203.5,0,965.4,631,28,43.38,media
288,192,0,192,0,932,717.8,28,38.8,media
212,141.3,0,203.5,0,973.4,750,28,33,media
102,153,0,192,0,887,942,28,17.28,baja
173,116,0,192,0,946.8,856.8,28,24.28,baja
183.9,122.6,0,203.5,0,959.2,800,28,24.05,baja
153,102,0,192,0,888,943.1,28,17.96,baja
236,157,0,192,0,972.6,749.1,28,32.88,media
116,173,0,192,0,909.8,891.9,28,22.35,baja
203.5,305.3,0,203.5,0,963.4,630,28,41.68,media
200,133,0,192,0,965.4,806.2,28,30.44,media
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96,media
310,0,0,192,0,1012,830,28,27.83,media
331,0,0,192,0,1025,821,28,31.74,media
349,0,0,192,0,1056,809,28,33.61,media
238,0,0,186,0,1119,789,28,17.54,baja
296,0,0,186,0,1090,769,28,25.18,media
480,0,0,192,0,936,721,28,43.89,media
397,0,0,186,0,1040,734,28,36.94,media
281,0,0,185,0,1104,774,28,22.44,baja
500,0,0,200,0,1125,613,28,44.09,media
540,0,0,173,0,1125,613,28,67.31,alta
350,0,0,203,0,974,775,28,27.34,media
385,0,0,186,0,966,763,28,31.35,media
382,0,0,186,0,1047,739,28,37.42,media
281,0,0,186,0,1104,774,28,22.44,baja
339,0,0,185,0,1069,754,28,31.84,media
295,0,0,185,0,1069,769,28,25.18,media
238,0,0,185,0,1118,789,28,17.54,baja
296,0,0,192,0,1085,765,28,21.65,baja
331,0,0,192,0,978,825,28,31.45,media
349,0,0,192,0,1047,806,28,32.72,media
252,0,0,185,0,1111,784,28,19.69,baja
339,0,0,185,0,1060,754,28,31.65,media
393,0,0,192,0,940,758,28,39.58,media
382,0,0,185,0,1047,739,28,37.42,media
252,0,0,185,0,1111,784,28,19.69,baja
310,0,0,192,0,970,850,28,27.92,media
525,0,0,189,0,1125,613,28,55.94,media
322,0,0,203,0,974,800,28,25.18,media
302,0,0,203,0,974,817,28,21.75,baja
397,0,0,185,0,1040,734,28,39.09,media
522,0,0,146,0,896,896,28,74.99,alta
273,105,82,210,9,904,680,28,37.17,media
162,190,148,179,19,838,741,28,33.76,media
154,144,112,220,10,923,658,28,16.5,baja
147,115,89,202,9,860,829,28,19.99,baja
152,178,139,168,18,944,695,28,36.35,media
310,143,111,168,22,914,651,28,33.69,media
144,0,175,158,18,943,844,28,15.42,baja
304,140,0,214,6,895,722,28,33.42,media
374,0,0,190,7,1013,730,28,39.05,media
159,149,116,175,15,953,720,28,27.68,media
153,239,0,200,6,1002,684,28,26.86,media
310,143,0,168,10,914,804,28,45.3,media
305,0,100,196,10,959,705,28,30.12,media
151,0,184,167,12,991,772,28,15.57,baja
142,167,130,174,11,883,785,28,44.61,media
298,137,107,201,6,878,655,28,53.52,media
321,164,0,190,5,870,774,28,57.21,media
366,187,0,191,7,824,757,28,65.91,alta
280,129,100,172,9,825,805,28,52.82,media
252,97,76,194,8,835,821,28,33.4,media
165,0,150,182,12,1023,729,28,18.03,baja
156,243,0,180,11,1022,698,28,37.36,media
160,188,146,203,11,829,710,28,32.84,media
298,0,107,186,6,879,815,28,42.64,media
318,0,126,210,6,861,737,28,40.06,media
287,121,94,188,9,904,696,28,41.94,media
326,166,0,174,9,882,790,28,61.23,media
356,0,142,193,11,801,778,28,40.87,media
132,207,161,179,5,867,736,28,33.3,media
322,149,0,186,8,951,709,28,52.42,media
164,0,200,181,13,849,846,28,15.09,baja
314,0,113,170,10,925,783,28,38.46,media
321,0,128,182,11,870,780,28,37.26,media
140,164,128,237,6,869,656,28,35.23,media
288,121,0,177,7,908,829,28,42.13,media
298,0,107,210,11,880,744,28,31.87,media
265,111,86,195,6,833,790,28,41.54,media
160,250,0,168,12,1049,688,28,39.45,media
166,260,0,183,13,859,827,28,37.91,media
276,116,90,180,9,870,768,28,44.28,media
322,0,116,196,10,818,813,28,31.18,media
149,139,109,193,6,892,780,28,23.69,baja
159,187,0,176,11,990,789,28,32.76,media
261,100,78,201,9,864,761,28,32.4,media
237,92,71,247,6,853,695,28,28.63,media
313,0,113,178,8,1002,689,28,36.8,media
155,183,0,193,9,1047,697,28,18.28,baja
146,230,0,202,3,827,872,28,33.06,media
296,0,107,221,11,819,778,28,31.42,media
133,210,0,196,3,949,795,28,31.03,media
313,145,0,178,8,867,824,28,44.39,media
152,0,112,184,8,992,816,28,12.18,baja
153,145,113,178,8,1002,689,28,25.56,media
140,133,103,200,7,916,753,28,36.44,media
149,236,0,176,13,847,893,28,32.96,media
300,0,120,212,10,878,728,28,23.84,baja
153,145,113,178,8,867,824,28,26.23,media
148,0,137,158,16,1002,830,28,17.95,baja
326,0,138,199,11,801,792,28,40.68,media
153,145,0,178,8,1000,822,28,19.01,baja
262,111,86,195,5,895,733,28,33.72,media
158,0,195,220,11,898,713,28,8.54,baja
151,0,185,167,16,1074,678,28,13.46,baja
273,0,90,199,11,931,762,28,32.24,media
149,118,92,183,7,953,780,28,23.52,baja
143,169,143,191,8,967,643,28,29.72,media
260,101,78,171,10,936,763,28,49.77,media
313,161,0,178,10,917,759,28,52.44,media
284,120,0,168,7,970,794,28,40.93,media
336,0,0,182,3,986,817,28,44.86,media
145,0,134,181,11,979,812,28,13.2,baja
150,237,0,174,12,1069,675,28,37.43,media
144,170,133,192,8,814,805,28,29.87,media
331,170,0,195,8,811,802,28,56.61,media
155,0,143,193,9,1047,697,28,12.46,baja
155,183,0,193,9,877,868,28,23.79,baja
135,0,166,180,10,961,805,28,13.29,baja
266,112,87,178,10,910,745,28,39.42,media
314,145,113,179,8,869,690,28,46.23,media
313,145,0,127,8,1000,822,28,44.52,media
146,173,0,182,3,986,817,28,23.74,baja
144,136,106,178,7,941,774,28,26.14,media
148,0,182,181,15,839,884,28,15.52,baja
277,117,91,191,7,946,666,28,43.57,media
298,0,107,164,13,953,784,28,35.86,media
313,145,0,178,8,1002,689,28,41.05,media
155,184,143,194,9,880,699,28,28.99,media
289,134,0,195,6,924,760,28,46.24,media
148,175,0,171,2,1000,828,28,26.92,media
145,0,179,202,8,824,869,28,10.54,baja
313,0,0,178,8,1000,822,28,25.1,media
136,162,126,172,10,923,764,28,29.07,media
155,0,143,193,9,877,868,28,9.74,baja
255,99,77,189,6,919,749,28,33.8,media
162,207,172,216,10,822,638,28,39.84,media
136,196,98,199,6,847,783,28,26.97,media
164,163,128,197,8,961,641,28,27.23,media
162,214,164,202,10,820,680,28,30.65,media
157,214,152,200,9,819,704,28,33.05,media
149,153,194,192,8,935,623,28,24.58,baja
135,105,193,196,6,965,643,28,21.91,baja
159,209,161,201,7,848,669,28,30.88,media
144,15,195,176,6,1021,709,28,15.34,baja
154,174,185,228,7,845,612,28,24.34,baja
167,187,195,185,7,898,636,28,23.89,baja
184,86,190,213,6,923,623,28,22.93,baja
156,178,187,221,7,854,614,28,29.41,media
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63,media
313.3,0,113,178.5,8,1001.9,688.7,28,36.8,media
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29,baja
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72,media
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42,media
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94,media
313.3,145,0,178.5,8,867.2,824,28,40.93,media
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18,baja
153.1,145,113,178.5,8,1001.9,688.7,28,25.56,media
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44,media
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96,media
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84,baja
153.1,145,113,178.5,8,867.2,824,28,26.23,media
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96,baja
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63,media
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01,baja
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72,media
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54,baja
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46,baja
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25,media
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52,baja
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73,media
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77,media
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45,media
284,119.7,0,168.3,7.2,970.4,794.2,28,40.93,media
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87,media
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.2,baja
150,236.8,0,173.8,11.9,1069.3,674.8,28,37.43,media
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87,media
330.5,169.6,0,194.9,8.1,811,802.3,28,56.62,media
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46,baja
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79,baja
134.7,0,165.7,180.2,10,961,804.9,28,13.29,baja
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42,media
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23,media
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52,media
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74,baja
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15,media
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53,baja
277,116.8,91,190.6,7,946.5,665.6,28,43.58,media
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87,media
313.3,145,0,178.5,8,1001.9,688.7,28,41.05,media
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99,media
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25,media
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92,media
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54,baja
312.7,0,0,178.1,8,999.7,822.2,28,25.1,media
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07,media
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.74,baja
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8,media
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17,media
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76,media
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5,baja
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99,baja
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35,media
309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22,media
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42,baja
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42,media
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.06,media
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68,media
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86,media
310,142.8,0,167.9,10,914.3,804,28,45.3,media
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12,media
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57,baja
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.61,media
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52,media
321.3,164.2,0,190.5,4.6,870,774,28,57.22,media
366,187,0,191.3,6.6,824.3,756.9,28,65.91,alta
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83,media
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.4,media
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03,baja
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36,media
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31,media
298.1,0,107,186.4,6.1,879,815.2,28,42.64,media
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06,media
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8,media
325.6,166.4,0,174,8.9,881.6,790,28,61.24,media
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87,media
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31,media
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43,media
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09,baja
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46,media
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27,media
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.23,media
288.4,121,0,177.4,7,907.9,829.5,28,42.14,media
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88,media
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54,media
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46,media
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92,media
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.28,media
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18,media
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7,baja
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77,media
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4,media
